doi,title_CR,journal_pr,journal.x,journal.y,is_published_api,is_published_reported
10.1101/2020.04.23.20076877,"SARS-COV-2 DETECTION USING AN ISOTHERMAL AMPLIFICATION REACTION AND A RAPID, INEXPENSIVE PROTOCOL FOR SAMPLE INACTIVATION AND PURIFICATION",NA,NA,NA,FALSE,TRUE
10.1101/2020.05.04.20086322,DETERMINANTS OF SEVERITY IN CANCER PATIENTS WITH COVID-19 ILLNESS,Nature medicine,NA,NA,TRUE,TRUE
10.1101/2020.05.12.20099929,TRACKING THE COVID-19 PANDEMIC IN AUSTRALIA USING GENOMICS,nat commun,NA,NA,TRUE,TRUE
10.1101/2020.07.09.20148429,LONGITUDINAL EVALUATION AND DECLINE OF ANTIBODY RESPONSES IN SARS-COV-2 INFECTION,NA,NA,NA,FALSE,TRUE
10.1101/2020.05.30.20111393,ANTIBODY PROFILING OF COVID-19 PATIENTS IN AN URBAN LOW-INCIDENCE REGION IN NORTHERN GERMANY,NA,NA,NA,FALSE,TRUE
10.1101/2020.05.30.20111393,ANTIBODY PROFILING OF COVID-19 PATIENTS IN AN URBAN LOW-INCIDENCE REGION IN NORTHERN GERMANY,NA,NA,NA,FALSE,TRUE
10.1101/2020.05.02.20088898,"REPEATED SEROPREVALENCE OF ANTI-SARS-COV-2 IGG ANTIBODIES IN A POPULATION-BASED SAMPLE FROM GENEVA, SWITZERLAND",Lancet,NA,NA,TRUE,TRUE
10.1101/2020.06.06.20123414,SEX DIFFERENCES IN IMMUNE RESPONSES TO SARS-COV-2 THAT UNDERLIE DISEASE OUTCOMES,Nature,NA,NA,TRUE,TRUE
10.1101/2020.04.10.20060558,"HYDROXYCHLOROQUINE IN PATIENTS WITH COVID-19: AN OPEN-LABEL, RANDOMIZED, CONTROLLED TRIAL",NA,NA,NA,FALSE,TRUE
10.1101/2020.07.14.20151126,"SARS-COV-2 INFECTION INDUCES ROBUST, NEUTRALIZING ANTIBODY RESPONSES THAT ARE STABLE FOR AT LEAST THREE MONTHS",NA,NA,NA,FALSE,TRUE
10.1101/2020.04.30.20085613,HUMORAL IMMUNE RESPONSE AND PROLONGED PCR POSITIVITY IN A COHORT OF 1343 SARS-COV 2 PATIENTS IN THE NEW YORK CITY REGION,NA,NA,NA,FALSE,TRUE
10.1101/2020.03.05.20030502,CLINICAL PRESENTATION AND VIROLOGICAL ASSESSMENT OF HOSPITALIZED CASES OF CORONAVIRUS DISEASE 2019 IN A TRAVEL-ASSOCIATED TRANSMISSION CLUSTER,NA,NA,NA,FALSE,TRUE
10.1101/2020.04.16.20067835,SALIVA IS MORE SENSITIVE FOR SARS-COV-2 DETECTION IN COVID-19 PATIENTS THAN NASOPHARYNGEAL SWABS,N. Engl. j. med,NA,NA,TRUE,TRUE
10.1101/2020.06.23.20137596,PLATELETS CAN CONTAIN SARS-COV-2 RNA AND ARE HYPERACTIVATED IN COVID-19,NA,NA,NA,NA,TRUE
10.1101/2020.03.26.20044222,CLINICAL CHARACTERISTICS OF THE RECOVERED COVID-19 PATIENTS WITH RE-DETECTABLE POSITIVE RNA TEST,J Hepatol,Annals of Translational Med.,Annals of Translational Med.,TRUE,TRUE
10.1101/2020.04.06.20050575,PULMONARY AND CARDIAC PATHOLOGY IN COVID-19: THE FIRST AUTOPSY SERIES FROM NEW ORLEANS,Lancet Respir Med,NA,NA,TRUE,TRUE
10.1101/2020.05.22.20109793,CHANGES IN PREMATURE BIRTH RATES DURING THE DANISH NATIONWIDE COVID-19 LOCKDOWN: A NATIONWIDE REGISTER-BASED PREVALENCE PROPORTION STUDY,NA,NA,NA,FALSE,TRUE
10.1101/2020.04.17.20069567,ASSESSMENT OF FABRIC MASKS AS ALTERNATIVES TO STANDARD SURGICAL MASKS IN TERMS OF PARTICLE FILTRATION EFFICIENCY,Matter,NA,NA,TRUE,TRUE
10.1101/2020.04.15.20067017,HEPARIN THERAPY IMPROVING HYPOXIA IN COVID-19 PATIENTS - A CASE SERIES,NA,NA,NA,FALSE,TRUE
10.1101/2020.06.03.20121442,REDUCTION IN PRETERM BIRTHS DURING THE COVID-19 LOCKDOWN IN IRELAND: A NATURAL EXPERIMENT ALLOWING ANALYSIS OF DATA FROM THE PRIOR TWO DECADES.,NA,NA,NA,FALSE,TRUE
10.1101/2020.07.14.20153320,CLINICAL CHARACTERISTICS OF CHILDREN AND YOUNG PEOPLE HOSPITALISED WITH COVID-19 IN THE UNITED KINGDOM: PROSPECTIVE MULTICENTRE OBSERVATIONAL COHORT STUDY,BMJ,NA,NA,TRUE,TRUE
10.1101/2020.08.10.20171413,HIGH PREVALENCE OF SARS-COV-2 ANTIBODIES IN CARE HOMES AFFECTED BY COVID-19; A PROSPECTIVE COHORT STUDY IN ENGLAND,NA,NA,NA,FALSE,TRUE
10.1101/2020.04.13.20063669,SMOKING IS ASSOCIATED WITH COVID-19 PROGRESSION: A META-ANALYSIS,Nicotine Tob Res,NA,NA,TRUE,TRUE
10.1101/2020.06.01.20119040,FACTORS ASSOCIATED WITH ADHERENCE TO SELF-ISOLATION AND LOCKDOWN MEASURES IN THE UK; A CROSS-SECTIONAL SURVEY,Public Health,NA,NA,TRUE,TRUE
10.1101/2020.05.20.20108126,SUSCEPTIBILITY TO AND TRANSMISSION OF COVID-19 AMONGST CHILDREN AND ADOLESCENTS COMPARED WITH ADULTS: A SYSTEMATIC REVIEW AND META-ANALYSIS,NA,NA,NA,FALSE,TRUE
10.1101/2020.05.21.108308,SYSTEMIC AND MUCOSAL ANTIBODY SECRETION SPECIFIC TO SARS-COV-2 DURING MILD VERSUS SEVERE COVID-19,journal of neurointerventional surgery,NA,NA,TRUE,NA
10.1101/2020.04.11.036855,EVALUATION OF HEATING AND CHEMICAL PROTOCOLS FOR INACTIVATING SARS-COV-2,Viruses,NA,NA,TRUE,NA
10.1101/2020.05.21.109272,AN INSERTION UNIQUE TO SARS-COV-2 EXHIBITS SUPERANTIGENIC CHARACTER STRENGTHENED BY RECENT MUTATIONS,NA,NA,NA,TRUE,NA
10.1101/2020.06.25.172403,VIRUS-RECEPTOR INTERACTIONS OF GLYCOSYLATED SARS-COV-2 SPIKE AND HUMAN ACE2 RECEPTOR,cell host microbe,NA,NA,TRUE,NA
10.1101/2020.06.27.175430,CITIZEN SCIENTISTS CREATE AN EXASCALE COMPUTER TO COMBAT COVID-19,mia,NA,NA,TRUE,NA
10.1101/2020.05.06.20092841,"MODELING THE IMPACT OF SOCIAL DISTANCING, TESTING, CONTACT TRACING AND HOUSEHOLD QUARANTINE ON SECOND-WAVE SCENARIOS OF THE COVID-19 EPIDEMIC",Nature human behaviour,NA,NA,TRUE,NA
10.1101/2020.04.11.20056010,HOUSEHOLD SECONDARY ATTACK RATE OF COVID-19 AND ASSOCIATED DETERMINANTS,Annals of translational medicine,NA,NA,TRUE,NA
10.1101/2020.03.04.20031112,PROJECTING THE TRANSMISSION DYNAMICS OF SARS-COV-2 THROUGH THE POST-PANDEMIC PERIOD,Science,NA,NA,TRUE,NA
10.1101/2020.05.24.20111823,"CHARACTERISTICS AND PREDICTORS OF HOSPITALIZATION AND DEATH IN THE FIRST 9,519 CASES WITH A POSITIVE RT-PCR TEST FOR SARS-COV-2 IN DENMARK: A NATIONWIDE COHORT",International journal of epidemiology,NA,NA,TRUE,NA
10.1101/2020.04.01.20050542,USING ILI SURVEILLANCE TO ESTIMATE STATE-SPECIFIC CASE DETECTION RATES AND FORECAST SARS-COV-2 SPREAD IN THE UNITED STATES,Sci. transl. med,NA,NA,TRUE,NA
10.1101/2020.02.24.20027375,ESTIMATION OF COVID-2019 BURDEN AND POTENTIAL FOR INTERNATIONAL DISSEMINATION OF INFECTION FROM IRAN,Ann Intern Med,NA,NA,TRUE,NA
10.1101/2020.06.15.20132233,SARS-COV-2 COMMUNITY TRANSMISSION DURING SHELTER-IN-PLACE IN SAN FRANCISCO,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,NA,NA,TRUE,NA
10.1101/2020.05.26.20114124,SEROPREVALENCE OF SARS-COV-2 AMONG CHILDREN VISITING A HOSPITAL DURING THE INITIAL SEATTLE OUTBREAK,nat commun,NA,NA,TRUE,NA
10.1101/2020.07.20.20157149,ASSOCIATION OF CONTACT TO SMALL CHILDREN WITH MILD COURSE OF COVID-19,international journal of infectious diseases,NA,NA,TRUE,NA
10.1101/2020.08.12.20169359,EFFECT OF CONVALESCENT PLASMA ON MORTALITY AMONG HOSPITALIZED PATIENTS WITH COVID-19: INITIAL THREE-MONTH EXPERIENCE,Mayo Clin Proc,NA,NA,TRUE,NA
10.1101/2020.03.03.20029843,EFFECT OF NON-PHARMACEUTICAL INTERVENTIONS FOR CONTAINING THE COVID-19 OUTBREAK: AN OBSERVATIONAL AND MODELLING STUDY,Nature (Lond.),NA,NA,TRUE,NA
10.1101/2020.05.08.20095893,ASSOCIATION OF VITAMIN D DEFICIENCY AND TREATMENT WITH COVID-19 INCIDENCE,JAMA network open,NA,NA,TRUE,NA
10.1101/2020.07.23.20160820,"CLINICAL IMPACT, COSTS, AND COST-EFFECTIVENESS OF EXPANDED SARS-COV-2 TESTING IN MASSACHUSETTS",NA,NA,NA,TRUE,NA
10.1101/2020.08.11.20171843,FUNCTIONAL SARS-COV-2-SPECIFIC IMMUNE MEMORY PERSISTS AFTER MILD COVID-19,res sq,NA,NA,TRUE,NA
10.1101/2020.06.01.20112334,"A COHORT STUDY TO EVALUATE THE EFFECT OF COMBINATION VITAMIN D, MAGNESIUM AND VITAMIN B12 (DMB) ON PROGRESSION TO SEVERE OUTCOME IN OLDER COVID-19 PATIENTS.",NA,NA,NA,TRUE,NA
10.1101/2020.08.10.20172189,JANUS KINASE-INHIBITOR AND TYPE I INTERFERON ABILITY TO PRODUCE FAVORABLE CLINICAL OUTCOMES IN COVID-19 PATIENTS: A SYSTEMATIC REVIEW AND META-ANALYSIS,Res Sq,NA,NA,TRUE,NA
10.1101/2020.04.25.20074856,TEST PERFORMANCE EVALUATION OF SARS-COV-2 SEROLOGICAL ASSAYS,Nature biotechnology,NA,NA,TRUE,NA
10.1101/2020.04.05.20051540,SARS-COV-2 TITERS IN WASTEWATER ARE HIGHER THAN EXPECTED FROM CLINICALLY CONFIRMED CASES,mSystems,NA,NA,TRUE,NA
10.1101/2020.06.15.20117747,SARS-COV-2 TITERS IN WASTEWATER FORESHADOW DYNAMICS AND CLINICAL PRESENTATION OF NEW COVID-19 CASES,NA,NA,NA,TRUE,NA
10.1101/2020.04.02.20047050,THE QT INTERVAL IN PATIENTS WITH SARS-COV-2 INFECTION TREATED WITH HYDROXYCHLOROQUINE/AZITHROMYCIN,Nature medicine,NA,NA,TRUE,NA
10.1101/2020.07.07.20148106,NOVEL SARS-COV-2 SPECIFIC ANTIBODY AND NEUTRALIZATION ASSAYS REVEAL WIDE RANGE OF HUMORAL IMMUNE RESPONSE DURING COVID-19,mia,NA,NA,TRUE,NA
10.1101/2020.05.08.20095471,"TREATMENT OF COVID-19 PATIENTS WITH CONVALESCENT PLASMA IN HOUSTON, TEXAS",Am J Pathol,NA,NA,TRUE,NA
